LZ_Nummer;fach1_id
15622;S02b
1043;Q02
4582;F14
5576;FÜ
7020;S04b
45253;S04a
45254;S04a
7004;F11E
15498;F11E
3404;F01
78471;S01b
78472;S01b
78473;S01b
78474;S01b
3548;S04a
3547;Q01
3549;S02b
3555;S04a
3575;Q01
3574;S02b
3852;Q04
3875;Q04
3876;Q04
3877;Q04
7181;F10
1233;Q04
1232;Q04
1452;S02b
1451;S02b
1704;"F17 "
1700;S02b
1844;S01b
2043;S01b
3492;S03b
15783;S04a
15753;S04a
3782;F13
1086;S01b
1085;S01b
1152;S01b
2371;S03b
18573;S02b
4480;FÜ
4481;FÜ
6984;S04b
12721;S04b
19939;"F03 "
19933;S04b
78503;S04a
78499;F01
3502;S04a
3503;S04a
3530;"Q01 "
3528;Q01
3529;S01b
3527;Q01
5329;"Q01 "
3954;"Q01 "
3631;S01b
3632;S02b
3652;S01b
3648;S01b
956;"Q02 "
955;"Q02 "
70384;S02b
898;F03
899;F03
70389;S01b
3470;"Q01 "
3558;Q01
3559;Q01
3561;Q01
3560;Q01
83209;F19
5328;Q01
5330;S04a
3589;S03b
87793;S02b
12648;F11
12646;F11
12647;F11
87773;S02b
87774;S02b
5853;S01b
12681;FÜ
12682;FÜ
12683;FÜ
5911;S01a
5596;S01b
15402;F08
5309;F08
5992;F08
12767;S03b
15429;FÜ
15430;FÜ
70353;FÜ
70377;S02a
87784;S01b
6953;S04b
6949;S04a
6986;F19
83242;S02b
83243;S02b
3509;S04b
3517;Q01
3543;Q01
3570;Q01
3573;S02b
3939;S04b
3955;Q01
78486;S02b
78488;S02b
83239;S01b
3630;S01b
3629;S01b
3637;S02b
3644;F11H
3651;F11H
3649;S01b
3885;S03b
8728;F09
15125;F12
15126;F12
15127;F12
15124;F12
10444;F12
15129;F12
12636;F12
15128;F12
45260;Q10
8887;F17
8889;F17
8894;S02b
8895;S02b
8896;S02b
8898;S02b
8899;S02b
8945;F09
8948;F09
10309;S02b
45304;S02b
45305;S02b
9099;F11M
9098;F11M
15031;S02b
10314;F11R
14914;F11R
10313;F11R
12780;F11E
8958;F11E
12782;F11E
14947;FÜ
14949;FÜ
14948;FÜ
14928;F01
14929;F01
14930;F01
14931;F01
14932;F01
14933;F01
79791;F11M
8833;F10
10251;F10
8834;F10
12745;F15
20147;F10
8966;F10
9008;Q04
8755;Q03
12752;F11P
10365;F11P
10362;F11P
10371;F11P
10373;F11P
10372;F11P
10370;F11P
10380;F02
10383;F02
10381;F02
10379;F02
14954;FÜ
14975;FÜ
14955;FÜ
12630;F01
12631;F01
12770;F01
12628;F01
12629;F01
12632;F01
87798;F17
92395;F10
94660;F10
92394;F01
12790;F11H
12791;F11H
8691;F05V
15518;F11H
15519;F11H
15520;F11H
15521;F11H
15517;F11H
15582;F11H
15583;F11H
15586;F11M
15509;F21
15510;F21
15511;F21
15512;F21
15508;F11H
14962;FÜ
15233;FÜ
14960;FÜ
20171;FÜ
15590;F11H
15591;F11H
15536;F11H
15538;F11H
15540;F11H
15542;F11H
15534;F11H
14934;F01
14935;F01
14936;F01
14937;F01
14938;F01
14939;F01
8640;Q14
14917;F18
14916;F18
8793;S04a
15011;Q14
15005;Q14
15004;Q14
8993;F18
14996;F18
61993;"F19 "
10007;F19
8995;F19
14997;F19
10004;F18
14967;FÜ
14940;F01
14941;F01
14942;F01
14943;F01
14944;F01
14945;F01
45275;F19
83085;Q09
83090;S02b
1706;"F17 "
7392;F17
6665;S02b
6666;S02b
15607;F07
38009;F07
15500;F11E
15499;F11E
15967;F12
15248;F14
19851;Q08
19827;F02
19085;F19
19086;F19
7128;Q04
3853;Q04
3854;Q04
3874;Q04
3518;Q01
3519;Q01
37343;S01b
841;Q10
92385;F01
83247;F18
12669;FÜ
12670;FÜ
12672;FÜ
12673;FÜ
12674;FÜ
